Handelsmann,
Hauptmann der Waldstädte,
Hausarchivar,
Hauskammeramtsverweser,
Hauskämmerer,
Heerführer,
Heerführer der Hussiten,
Herzog,
Herzogin von Jülich-Kleve-Berg,
Herzog und Kurfürst von Bayern,
Herzog von Bayern,
Herzog von Braunschweig-Lüneburg,
Herzog von Brieg,
Herzog von Burgund,
Herzog von Modena,
Historiker,
Hoch- und Deutschmeister,
Hofarchitekt,
Hofbaudirektor,
Hofbauinspektor,
Hofbaumeister,
Hofbibliothekar,
Hofbuchdrucker,
Hof- bzw. Regimentsmarschall zu Innsbruck,
"Hofdeputation in Transylvanicis, Banaticis",
Hofgerichtsschreiber,
Hofhistoriograph,
Hofingenieur,
Hofjude,
Hofkammer,
Hofkammermeister,
Hofkammerpräsident,
Hofkammerrat,
Hofkanzlei,
Hofkanzleirat,
Hofkanzler,
Hofkapellmeister,
Hofkommissär in Ungarn,
Hofkomponist,
Hofkriegsrat,
Hofkriegsratspräsident,
Hofkriegsratsvizepräsident,
Hofmarschall,
Hofmarschallamtsverweser,
Hofmarschall zu Innsbruck,
Hofmathematiker,
Hofmeister,
Hofmeisteramtsverweser,
Hofmeister zu Innsbruck,
Hofplattnerfamilie,
Hofpoet,
Hofquartiermeister,
Hofrat,
Hofrat der Galizischen Hofkanzlei,
Hofrat der Ungarischen Hofkanzlei,
Hofsekretär,
Hofsekretär bei der Hofkammer in Münz- und Bergwesen,
Hofstellen,
Hoftanzmeister,
Hofvizekanzler,
Hubmeister der Steiermark,
Hubmeister von Österreich unter der Enns,
Hubschreiber von Österreich unter der Enns,
Humanist,
Illyrischer Hofkanzler,
Infantin von Spanien,
Infant von Spanien,
Ingenieur,
Ingenieurhauptmann,
Ingenieuroberstleutnant,
Ingenieuroffizier,
Innerösterreichischer Hof­,
Innerösterreichischer Hofkammerpräsident,
Innerösterreichischer Hofkriegsratspräsident,
Innerösterreichischer Hofkriegsrats-Vizepräsident,
Innsbrucker Rechenkammer,
interimistischer Präsident der Siebenbürgischen Hofkanzlei,
interimistischer Vorstand der Siebenbürgischen Hofkanzlei,
Italienischen Rates,
Italienischer Hofkanzler,
Italienischer Reichsfiskal,
italienischer Reichshoffiskal,
Jesuit,
Johanniterordens in Kastilien,
Jurist,
Justizstelle,
Justizstelle der Obersten Justizstelle,
Kabinettskonzipist,
Kabinettssekretär,
Kaiserin,
kaiserlicher General,
kaiserlicher Kommissar,
kaiserlicher Leibchirurg,
kaiserlicher Obersthofmeister,
kaiserlicher Resident in Hamburg,
Kammeradvokat,
Kammerdiener,
Kammerdiener Ferdinands II.,
Kammerdiener Rudolfs II.,
Kammerprokurator,
Kammerprokuratorfiskal,
Kammerrichter,
Kammerzahlamtsmeister,
Kammerzahlmeister,
Kanzleiagent,
Kanzleiverwalter der Rechenkammer,
Kanzleiverweser von Ensisheim,
Kanzler des Ordens vom Goldenen Vlies,
Kanzler Karls V.,
Kapellmeister,
Kardinal,
Kartograph,
Kg. von Ungarn und Böhmen,
Kommandant des Pontonierbataillons,
Kommissar für Reichsitalien,
Komponist,
Konferenzminister,
